2025-12-15 18:46:49,384 INFO    MainThread:890080 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_setup.py:_flush():80] Configure stats pid to 890080
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_setup.py:_flush():80] Loading settings from /home/yang/.config/wandb/settings
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_setup.py:_flush():80] Loading settings from /home/yang/MyRepos/object_detection/wandb/settings
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_init.py:setup_run_log_directory():714] Logging user logs to /home/yang/MyRepos/object_detection/wandb/run-20251215_184649-xdvuj21z/logs/debug.log
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to /home/yang/MyRepos/object_detection/wandb/run-20251215_184649-xdvuj21z/logs/debug-internal.log
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_init.py:init():841] calling init triggers
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'architecture': 'DINOv3 + Custom Head', 'dataset': 'Port Classification', 'epochs': 240, 'batch_size': 32, 'learning_rate': 240, '_wandb': {}}
2025-12-15 18:46:49,385 INFO    MainThread:890080 [wandb_init.py:init():889] starting backend
2025-12-15 18:46:49,608 INFO    MainThread:890080 [wandb_init.py:init():892] sending inform_init request
2025-12-15 18:46:49,610 INFO    MainThread:890080 [wandb_init.py:init():900] backend started and connected
2025-12-15 18:46:49,611 INFO    MainThread:890080 [wandb_init.py:init():970] updated telemetry
2025-12-15 18:46:49,613 INFO    MainThread:890080 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2025-12-15 18:46:53,465 INFO    MainThread:890080 [wandb_init.py:init():1041] starting run threads in backend
2025-12-15 18:46:53,516 INFO    MainThread:890080 [wandb_run.py:_console_start():2521] atexit reg
2025-12-15 18:46:53,516 INFO    MainThread:890080 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2025-12-15 18:46:53,516 INFO    MainThread:890080 [wandb_run.py:_redirect():2438] Wrapping output streams.
2025-12-15 18:46:53,516 INFO    MainThread:890080 [wandb_run.py:_redirect():2461] Redirects installed.
2025-12-15 18:46:53,518 INFO    MainThread:890080 [wandb_init.py:init():1081] run started, returning control to user process
2025-12-15 18:48:21,771 INFO    wandb-AsyncioManager-main:890080 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-15 18:48:21,771 INFO    wandb-AsyncioManager-main:890080 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
